epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.3476,1.49897,3.06599,1.3113,0.00337,0.90722,0.41411,0.25106,1.22232,3.59553,1.12033,0.00042,0.00042,0.00042
2,187.252,1.46669,1.94568,1.22952,0.00337,0.90722,0.26679,0.13783,1.38425,3.6176,1.28673,0.000842972,0.000842972,0.000842972
3,281.462,1.47887,1.80896,1.27285,0.00368,0.47423,0.17788,0.09503,1.7313,3.83676,1.55522,0.00124852,0.00124852,0.00124852
4,373.133,1.47868,1.75248,1.28918,0.50231,0.35052,0.30843,0.15637,1.65872,3.05369,1.48751,0.00163664,0.00163664,0.00163664
5,465.165,1.49232,1.60508,1.29866,0.4841,0.34021,0.26523,0.14666,1.5848,2.83763,1.53312,0.0018416,0.0018416,0.0018416
6,556.15,1.54848,1.54322,1.35348,0.32669,0.61856,0.35525,0.19369,1.57182,2.78227,1.54795,0.001802,0.001802,0.001802
7,707.066,1.45045,1.4098,1.30475,0.63126,0.67065,0.67535,0.32935,1.57176,2.23503,1.42186,0.0017624,0.0017624,0.0017624
8,823.616,1.44923,1.33559,1.28312,0.75065,0.71382,0.77116,0.43663,1.50907,1.52656,1.3744,0.0017228,0.0017228,0.0017228
9,940.279,1.46847,1.29056,1.27996,0.61183,0.61748,0.66142,0.38471,1.43831,1.97758,1.33934,0.0016832,0.0016832,0.0016832
10,1057.24,1.44818,1.20815,1.27732,0.84528,0.71134,0.76701,0.45898,1.46193,1.3623,1.37607,0.0016436,0.0016436,0.0016436
11,1171.34,1.39353,1.11525,1.22235,0.87812,0.64948,0.7235,0.4069,1.50162,2.50551,1.43052,0.001604,0.001604,0.001604
12,1281.92,1.48022,1.1258,1.26849,0.68724,0.69072,0.6905,0.41974,1.46845,1.58006,1.34474,0.0015644,0.0015644,0.0015644
13,1390.24,1.41321,1.0709,1.22701,0.9002,0.75258,0.82028,0.47764,1.42118,1.45285,1.32739,0.0015248,0.0015248,0.0015248
14,1501.59,1.3644,1.01954,1.21895,0.90889,0.82272,0.86804,0.52147,1.38037,1.29513,1.32261,0.0014852,0.0014852,0.0014852
15,1616.55,1.32512,0.94663,1.20779,0.90145,0.73196,0.88107,0.52116,1.37502,1.21898,1.29359,0.0014456,0.0014456,0.0014456
16,1724.54,1.37761,1.00885,1.25191,0.81635,0.8249,0.87415,0.55703,1.37341,1.06303,1.28369,0.001406,0.001406,0.001406
17,1835.26,1.3366,0.98118,1.19802,0.83951,0.80896,0.87277,0.50657,1.37233,1.03872,1.24963,0.0013664,0.0013664,0.0013664
18,1943.49,1.33755,0.97596,1.18845,0.83776,0.85174,0.88055,0.51299,1.40609,0.99478,1.297,0.0013268,0.0013268,0.0013268
19,2053.66,1.32239,0.93935,1.18761,0.81887,0.79236,0.83086,0.48727,1.47924,1.06247,1.40333,0.0012872,0.0012872,0.0012872
20,2166.69,1.34042,0.8991,1.23364,0.80879,0.81443,0.82658,0.4929,1.39015,1.13689,1.27101,0.0012476,0.0012476,0.0012476
21,2276.45,1.29651,0.88466,1.1724,0.80901,0.91702,0.9009,0.52582,1.48026,0.96544,1.30288,0.001208,0.001208,0.001208
22,2388.47,1.26222,0.83516,1.18511,0.93746,0.77271,0.89576,0.52311,1.40611,0.96251,1.33843,0.0011684,0.0011684,0.0011684
